tradedate,newstitle,newslink,source,closeprice,sentimentscore,sentimentmagnitude,sentimentlabel,impact,category,mat_reason
2025-10-20,ソニーＧ、野村証が目標株価４７００円に増額 速報 - kabushiki.jp,https://news.google.com/rss/articles/CBMiR0FVX3lxTE5mOXNVdkdXZkVCa2NJeHFkVHBsbG5QVTc0LTFiTmt1Z1lFeHVPZE9fUF9GVWJVM0dnNEJBaFFvT2dpcURkcVlj?oc=5,,4420.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-20,Sony Music Shop限定 『BABYMONSTER - ソニーミュージックオフィシャルサイト,https://news.google.com/rss/articles/CBMiakFVX3lxTFA1UUwtM2ljdGdkSTJsN2dHTGttUjByM3hwTGtRU01oNHZDOXdyZjd5dmhuYlE3bEFxdFl3Vjl3Wk1pMjVaWDNZZEM0c252S0l0Vll5TzBtWl9naTZFUzdscEhDUXJoQk1Xc2c?oc=5,,4420.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-21,Sony Music Shop限定 『BABYMONSTER - ソニーミュージックオフィシャルサイト,https://news.google.com/rss/articles/CBMiakFVX3lxTE9MOC1xTXdpVURUT3BoMmhNM3B0NTJWQUJLeFd0NmM1dTF2anhQdW9YeWpTcFRtU2RkTERRVjVWRmdybW5HWjhpYUdhM3JYdVgzSm5IVnNzdFhoa01hQmQ2ZWNGQTV1R0hzWVE?oc=5,,,0.0,0.5,neutral,0.0,unknown,nan
2025-10-22,ソニーG発の社団法人、アフリカでアニメ人材育成 日本企業と共同製作 - 日本経済新聞,https://news.google.com/rss/articles/CBMibEFVX3lxTE9aN0NtcWI0ZG1CX01BdFhhX3hMZkRoZy1zV0F3Tk01c0VOZnVNTDBjOGoycEhMcEdiVlQ4N0stckwtS280LThhOE1XcWtuV2NpUGZSUUplWkZUM3NOUEF0clhoYkFaOHVxczRqbg?oc=5,,4400.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-23,【イベントレポート】ソニーが“クリエイター支援”を強化するワケ。カスタマーマーケティングで描く未来像とは - デジカメ Watch,https://news.google.com/rss/articles/CBMic0FVX3lxTE42ZUxkbk1BTEZsZ1cyRFFVQkZlVTc5aldxSzM3S2JSODRPMFRleDlSQUtJcmF1ZWVDRERDeGZjNGVORk5zUldRTms1T0hvaGlyMFNIVUo2T1JvZzBBbndadXkxdDNjQ3BEdEpVc2JUUjEySEk?oc=5,,4389.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-24,ソニーセミコン、エッジAI省電力に 半導体回路と強誘電体を融合 - 日経クロステック,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9QYmZXZmYyRUE4dDIwTnhqWVk2M1FqTDRRd1J4VWY1VDRCWjhMYUtRRkVzQmFrMnJnOWtLMGJxdVBTR09ENVZ5SzBkSGFlU1hrUzBPNkY2LWtVNE1XVWVRaTNkOVFqUWc?oc=5,,4377.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-24,企業のデザイナーの力を生かし、社会課題の解決に挑戦する企業横断プロジェクト「IN-HOUSE→SOCIAL DESIGN UNIT」にソニーが参画 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE9YOW12UUJwNGdYZllPVFJDa1Boa0JZbkpwQjhMUVdtQ2VPazI4bXRfVXNIMVo5QXZTMFphenAyXzJKQXctdm5kNGxWUnBrU3pHWnl6RzJmaU5EN3Q5Z3pLVnVMVkdXbTRDQWc?oc=5,,4377.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-24,ソニー部品販売再開したけど、、、がんばって確保した在庫限りよ！ - コール徳島店,https://news.google.com/rss/articles/CBMiYkFVX3lxTE92dUc4V1l1UUZISERldTZHRlNGMWViVlpLZFRmVkY4d1JqMjcyeUJ2R1RvVDlwTFVLU0xoamNzTThKMmxyOTFKdjA3UVp6ejF1cVZ3a2plSXYwa3MtSzFsZVBn?oc=5,,4377.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-24,ソニーG・十時CEO「コンテンツ価値を最大化」 米メディア会議開催 - 日本経済新聞,https://news.google.com/rss/articles/CBMimgFBVV95cUxPUktRbW5iVHY5SDVtRVpzSzBlcFpZc0VqU1N5SkI1clF0a1UxUzh6b3JPa1c0M0dXa3R5SVFCWElzMG9EZTAwWnZTRXVmeVhZcjd5ZXZYZXJhbm1IMEJqQUhsUGlOd0Q4QzhUSXhSTzB4R290Nm1RbHNpSXY2aTNSNnJXbXVQaW4tVEdhazdieVNqSzg3Z2dDMjVB?oc=5,,4377.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-27,ソニーグループ十時裕樹社長CEO、ワーナー買収「するつもりない」 アニメに集中 - 日本経済新聞,https://news.google.com/rss/articles/CBMibEFVX3lxTFBqbFpCV3BFRlhSVkpSdmJyV2NzLVJmaGQzSXU1QjRUVDBPRjZwcjd4NjRDbS1RRGgwSzBYdTJLTF91WEd4am1uS2xqZUxvZk4wRWM0QUlEbnZlRENhaFFzUmNXaTlQd2RjbmNsYQ?oc=5,,4402.0,0.3125,0.3,positive,0.3,other,"The text directly quotes Sony's CEO regarding a potential acquisition. While a denial is not a huge market mover, it clarifies Sony's strategic direction and could influence investor sentiment, albeit modestly. It's not directly related to earnings, guidance, or a specific product, placing it in 'other'."
2025-10-27,ソニーグループ、「MR Cruise」の本格サービスとして「タイムトリップタクシー」を開始 - 日本経済新聞,https://news.google.com/rss/articles/CBMiowFBVV95cUxQMmpIU3FFOEpjajhVWW1WR1pOMnRIWV92V2hkWlNaSnlBLW9DWVZJNVlFRDI0X0pPVFNJTU5ab19TWmpQVkhKUW8yRUEyMF9QZjhUd3V0TVl0ZmJQNWtYQVp1TFA0My1tR0haN1Brb0xSdDJDM0ptME1ON2xONlItTWhEQnliYjhKVDhqaE42b2ExbjlZa2R3MEpfd09RNzMySXJZ?oc=5,,4402.0,0.78125,0.3,positive,0.3,product,"The article discusses a new service, 'Time Trip Taxi,' launched by Sony Group, indicating a product or service development. This could have a small positive impact on the stock depending on the perceived success of the new venture."
2025-10-27,ソニーG十時CEO、ワーナー買収「するつもりない」 アニメに集中 - 日本経済新聞,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQZkxjYzZDMlBaQVA3YkI0S090b2puWG5FR2JTdzl1bUlKazJDVnNmeGx5R1plQVF1N19BYmFCcEx3UlJ6dnk5UnYwZm94SWNrQTdHdkdJR0RQRllxbjRDbHdkQWZyMjZ1R2dIMGFkaDBlTjRLVnpveFljWV9lSVhsSVE5OFhrWTNjcV9JZjRxNHZROFlKUnJZZFgtWnBMMHctbmZWMUdBTHE?oc=5,,4402.0,0.0,0.25,neutral,0.3,other,"The article directly quotes Sony Group's CEO denying intentions to acquire Warner Bros. This could potentially move the stock as it clarifies the company's M&A strategy, quelling speculation about a large acquisition."
2025-10-28,ソニーセミコン、車載画像センサーに高速通信を内蔵 消費電力2割減 - 日本経済新聞,https://news.google.com/rss/articles/CBMibEFVX3lxTE1EYVloM0doRmVDR3FaOVNVamVLc1Q3YzR2LVM3STFsbkxfdmZZN192bXhYLTVlNHMzYVRjWklnT3RwU01JNWY5cERXUXNSdS15bFVtcVV5SDNBWURYSjYta2tQdk95OHV6c0x3bw?oc=5,,4375.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-29,ソニーがLEXUSをゲーム空間に　車とグランツーリスモ7を同期　Japan Mobility Showで披露 - ITmedia Mobile - ITmedia,https://news.google.com/rss/articles/CBMib0FVX3lxTE4wcnA4cmRnVi10S1ZaTF9sLWx4bTM3akd6eTVwWnZTN0t1d1IxS19ZVEk1TlZTZEc5RDV0OTJ4MHp6YUtMMU9BV0NJVlFHcFExWko2aVotbElINjE5bGFoR0xQeU02Y3MxZFdFWGtrUdIBaEFVX3lxTE9nSnh3WXkzcFM3LTl5bEhsVXc0QTFMS1JEc1d4ZFFtNTBxSXBxRjRyeHdxS0NCWWN3TWtGUGU2RTRXTnFCTU04NXV5MXlVVHlFODZySFZvWGZ0X3I5OVJ1NklzWVh3VHRl?oc=5,,4315.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-30,ソニーのミニLEDテレビ「BRAVIA 9」。'24年最高評価モデルの結果は!?【測定データすべて見せます(7)】 - AV Watch,https://news.google.com/rss/articles/CBMicEFVX3lxTFBtUWxLTmdBaHJkNnZUb2V4NnAyczJicF9QcU9naHJoQXNXLWtwVFJVT2E1VEhiYUdBQjY2ckM3SEVfVWU3Y0s2UkVrZEt6ZjRGZ1pPLXRlV0RPb3RzQWRCRi0tQUd1YXU0Ynd5TTZieGg?oc=5,,4232.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-30,［動画で解説］ソニーグループのスピンオフ。取得価額は？税金の扱いは？素朴なギモンに答えます - トウシル,https://news.google.com/rss/articles/CBMiWkFVX3lxTE4zbFNaNHFtR3FhU1hray05Ukc0UW5BWjE0VjNVSXduUXBtUmRxVVJVcExsdG1BcDgzZjVzQjFqMkdldllyMkF1NmpzN2VLbGFRVVpOLVBNbDFYZw?oc=5,,4232.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-30,日本株ADR29日、全面安 ソニーGやオリックス下落 - 日本経済新聞,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNQXNuRzBpZ2JpN205X2ZvcElPUXZBTkpsMWJDX3lHNUlmbHAyUkkxeXNKV2tUNmU3UVhuaFRWRXdWRDV1Q281WXF5eFl1dDg4UV9kdy1LS182VHliQlE0ZDRCSkVBVWUxX1lDLTlHMjRIUUJibHNsUjNqT1VYTldpZGtSUkd1R0xYQm5YYkp3SFRCNXNrZWpvbFhDbE8tdDhLY0JzSktMcGM?oc=5,,4232.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-31,ソニーとレクサスがコラボした「未来のエンタメ」の中身。実車と「グランツーリスモ7」が連携 - Business Insider Japan,https://news.google.com/rss/articles/CBMifkFVX3lxTE1GeUl1cGdGVWl1WlVvTEQyWUVfSENLTEtMMjBBaFljVjVybU9ZV2k5TTBGekNQcHpMNV9QbGdyX29kaFBLX1ZnR0hNdHRnZGxBQnlfUlRkUUp4MFRHaWlVTFlmM2F0N0Z4NG1Da0UzZW91VFpoYlhNVWpFVGZ0QQ?oc=5,,4332.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-31,【学生限定50名｜先着順】ソニーグループ クリエイティブセンターとひもとく「サステナビリティ×クリエイティブ」の“未来の兆し” - WIRED.jp,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1lV0RHbEdJVk1DWFpydHF3b0pyUmdXMVVzLTJtWGt5Qm01alRVdlRtdzNKaXB4UVhfMVZudDdDUkJGUjZSMmhmNlBYa1B6ckE?oc=5,,4332.0,0.0,0.5,neutral,0.0,unknown,nan
2025-10-31,ソニーG、ブシロード、GENDA…ゲーム・アニメ・漫画「5兆円」コンテンツ産業で注目の知財（IP）企業は？【厳選9銘柄】 - ダイヤモンド・オンライン,https://news.google.com/rss/articles/CBMiTEFVX3lxTE50WEttRVNoZzMyU3FMTUFoQTZtRU5NUy1FeFRwUHlHdTl3aFdHOXFyRkxoWURFYXVhd1NEOE84ZzNOTElsRmp1OVpJdUnSAU9BVV95cUxNc0RKM2pROEdrQlZBc3ItMXB0c1VHWnlMOUNQNEppeFlZZl9NN3pvOGZYSTViencyY1RCcnVjdHgyNjRaOE9GVnpydUd4RW5J?oc=5,,4332.0,0.0,0.5,neutral,0.0,unknown,nan
2025-11-04,【神戸高校】華麗なる卒業生人脈！ソニー創業の井深大、経団連会長の筒井義信、白洲次郎、元参院議長の扇千景…《経済＆政官界＆スポーツ編》 - ダイヤモンド・オンライン,https://news.google.com/rss/articles/CBMiTEFVX3lxTE0zcXh6XzlIdzd6aUE1bDY5ZmF4dVRaSXQ1ZzhrbVNfYnV1OFVRN0U5MkVNZTY4bnN2N25iMlgyXzNhTWgzNHk4cEFWQ3LSAU9BVV95cUxQaHljR2wtSFhjWENmRzlZTW5JazBjR1pyTmNnb1RHcGdJaFQ0eDMwY0RidWFRVTU5MlFHalBNVEVxODFBUGRFNEFNbUN2UUZB?oc=5,,4295.0,0.0,0.5,neutral,0.0,unknown,nan
2025-11-04,ソニーグループ傘下のコーギア、Blue Goats Capitalの資本参加を受け独立経営体制へ移行 - marr.jp,https://news.google.com/rss/articles/CBMiTkFVX3lxTE16LXlCRC1hZnlSZEV0M05MSDFmMXhzWTJsTXltd21SVURHZ0k4cS1ubUdkNDBaNHpISG93YUxTYm0ycnVlT1NJTmhHaXpTZw?oc=5,,4295.0,0.0,0.5,neutral,0.0,unknown,nan
